id_venta,producto,precio,fecha,cantidad,nombre_cliente,email_cliente,dirección_cliente,mes,total_venta
v01010,COLLAR,255,10/04/2023,6,Victoria Martinez,thomasjoyce@example.net,"85681 Bernard Gateway, Lake Douglas, FL 80264",04,1530
v01011,PULSERA,109,11/04/2023,9,Brittany Jones,vmejia@example.com,"2295 Heidi Lock, West Michael, PW 65412",04,981
v01012,PULSERA,127,12/04/2023,1,Rachel Fitzgerald,fcastro@example.org,"91014 Stefanie Garden, North Craigstad, FL 53640",04,127
v01013,COLLAR,139,13/04/2023,4,Zachary Brown,joylambert@example.org,"134 Madison Trail, Michelleshire, IL 57111",04,556
v01014,COLLAR,286,14/04/2023,3,Judy Park,robert99@example.org,"Unit 9909 Box 4462, DPO AP 43048",04,858
v01015,PULSERA,273,15/04/2023,10,Alexander Jenkins,reevesrebecca@example.com,"9828 Newman Fork, Simmonsport, WV 79063",04,2730
v01016,PULSERA,125,16/04/2023,9,Courtney Stanton,cindylee@example.com,"0396 Timothy River Apt. 088, Myersshire, PW 19485",04,1125
v01017,ARETES,234,17/04/2023,3,Morgan Martin,kendrastevens@example.com,"625 Amanda Circle, East Mike, LA 16474",04,702
v01018,ARETES,128,18/04/2023,2,Amanda Jackson,evelyn28@example.net,"PSC 8347, Box 3605, APO AP 21963",04,256
v01019,COLLAR,416,19/04/2023,3,Kelly Freeman,danielandersen@example.org,"4127 Smith Courts Suite 551, Davischester, NY 51730",04,1248
v0102,ANILLO,158,20/04/2023,5,Caroline Oliver,zvaughn@example.com,"USNS Banks, FPO AA 54414",04,790
v01020,ARETES,416,21/04/2023,4,Jane Sanchez,jacob44@example.org,"74729 Kyle Stravenue Suite 017, New Thomasberg, NY 44085",04,1664
v01021,COLLAR,490,22/04/2023,4,Teresa Foster,gabrielschultz@example.net,"66732 Tanner Causeway, Port Meganstad, VT 95798",04,1960
v01022,COLLAR,53,23/04/2023,4,Kaitlyn Bailey,fpage@example.com,"420 Schneider Square Apt. 641, Port Lauren, PR 57878",04,212
v01023,COLLAR,215,24/04/2023,9,Sara Lane,mflores@example.org,"9352 Stephanie Wells Apt. 582, North Robert, ID 51103",04,1935
v01024,ANILLO,295,25/04/2023,1,Rose Miller,xgarcia@example.net,"511 Daniel Turnpike Apt. 514, West Thomaston, KS 17098",04,295
v01025,ARETES,184,26/04/2023,6,Beverly Wilson,ycarter@example.com,"354 Walker Stream, Port Wendy, MP 16391",04,1104
v01026,PULSERA,90,27/04/2023,7,Julia Jackson,joshuaaguilar@example.net,"82335 Elizabeth Parkways Apt. 326, West Justinberg, CO 40482",04,630
v01027,ARETES,283,28/04/2023,7,Jonathan Floyd,afox@example.net,"63772 White Pike, East Susan, KS 19495",04,1981
v01028,COLLAR,483,29/04/2023,9,Alicia Ramirez,gregory05@example.net,"40106 Hill Views, North Justinland, NM 28632",04,4347
v01029,ANILLO,407,30/04/2023,7,Mary Hayes,jennifer78@example.com,"326 Poole Throughway Suite 149, Lisashire, NJ 67485",04,2849
v0103,ANILLO,300,01/05/2023,4,Katie Porter,mooreamber@example.net,"0508 Burke Knoll Suite 292, East Kimberlyborough, OH 59598",05,1200
v01030,ARETES,119,02/05/2023,1,Valerie May MD,sherribrady@example.com,"4520 Clark Parkways, Lake Kimberly, MS 22906",05,119
v01031,PULSERA,342,03/05/2023,6,David Brown,diana71@example.com,"49283 Jacqueline Roads Apt. 690, West Victortown, OR 22782",05,2052
v01032,COLLAR,165,04/05/2023,7,Desiree Martin,sarah99@example.com,"PSC 8928, Box 9950, APO AE 31164",05,1155
v01033,ARETES,471,05/05/2023,1,Brandon Powell,wyattcook@example.net,"8450 Taylor Vista Apt. 255, Mitchellfort, PW 84624",05,471
v01034,COLLAR,237,06/05/2023,9,Jason Cruz,rparker@example.com,"231 Meza Terrace, Reyeshaven, CT 96684",05,2133
v01035,COLLAR,405,07/05/2023,5,Nicole Munoz,martinezemily@example.org,"PSC 5909, Box 5374, APO AE 64644",05,2025
v01036,ANILLO,199,08/05/2023,3,Nicole Owens,suzanne06@example.com,"08131 Graham Route Apt. 494, North Scottville, NJ 21764",05,597
v01037,COLLAR,403,09/05/2023,5,Jillian Black,hoganpatrick@example.org,"451 Laurie Shoal, Port James, PR 90681",05,2015
v01038,ANILLO,318,10/05/2023,5,Erin Burns,garciadonald@example.org,"949 Brooks Plain, Stacybury, FL 27508",05,1590
v01039,ARETES,296,11/05/2023,6,Douglas Hale,timthomas@example.org,"8497 Taylor Mills, Donnafort, VI 59108",05,1776
v0104,COLLAR,468,12/05/2023,0,Christopher Watson,denniswilliams@example.org,"5872 Gould Rest Suite 593, Riversville, TN 09190",05,0
v01040,COLLAR,326,13/05/2023,9,Steven Larson,victoriawilson@example.com,"09664 Karen Crescent, Boltontown, VA 10147",05,2934
v01041,ARETES,412,14/05/2023,1,Blake English,uwagner@example.org,"PSC 4535, Box 2140, APO AA 14573",05,412
v01042,PULSERA,372,15/05/2023,1,Mark Myers,theresa30@example.org,"932 Ian Grove, Port Dana, AK 43020",05,372
v01043,ANILLO,490,16/05/2023,4,Richard Johnson,martinezsteven@example.com,"5022 Owens Keys Apt. 553, Lake Connieton, FM 70306",05,1960
v01044,COLLAR,426,17/05/2023,1,Kevin Smith,hannahhancock@example.com,"049 Preston Loaf Suite 515, North Michelleville, DC 98058",05,426
v01045,ANILLO,408,18/05/2023,5,Justin Coleman,curtishill@example.net,"0571 Vargas Mission Apt. 290, Anthonystad, AZ 99781",05,2040
v01046,PULSERA,360,19/05/2023,5,Alexandra Vang,atucker@example.org,"1103 Miller Circle Apt. 407, Reyeshaven, SC 09732",05,1800
v01047,COLLAR,311,20/05/2023,10,Andrew Coleman,davidcastaneda@example.com,"704 Parker Stravenue, New Dustin, NV 30410",05,3110
v01048,ANILLO,185,21/05/2023,4,Daniel Gilbert,sthomas@example.net,"62948 Phillip Lake Apt. 748, South Albert, ND 64501",05,740
v01049,ARETES,176,22/05/2023,2,Adam Hernandez,michelle73@example.net,"2782 Guzman Burgs, Freemanborough, MP 67257",05,352
v0105,PULSERA,418,23/05/2023,9,Shawn Patel,ogomez@example.net,"Unit 1286 Box 6897, DPO AP 18418",05,3762
v01050,ARETES,217,24/05/2023,6,Karen Harrison,perkinsamy@example.com,"39673 Steven Row, North Bernard, PA 70559",05,1302
v01051,ARETES,197,25/05/2023,7,Thomas Owens,martinezbenjamin@example.org,"13536 Gibson Greens Suite 112, Smithtown, OH 40729",05,1379
v01052,ARETES,233,26/05/2023,10,Elizabeth Velazquez,xolson@example.org,"8152 Harrison Mountain, Hallton, NH 15801",05,2330
v01053,ARETES,494,27/05/2023,6,Michael Black,omeza@example.org,"1929 Porter Crossroad, Port Dennis, AL 91483",05,2964
v01054,ARETES,343,28/05/2023,10,Stephanie Copeland,maria72@example.org,"43435 Deleon Estate Suite 147, Port Adam, AL 12431",05,3430
v01055,ARETES,231,29/05/2023,5,Dawn Moore,kim33@example.net,"64986 Ross Turnpike Apt. 667, Thomasland, MN 75159",05,1155
v01056,ANILLO,307,30/05/2023,5,Mitchell Howell,nancyjohns@example.org,"0271 Robinson Rest Apt. 623, South Ivan, WA 48400",05,1535
v01057,ANILLO,436,31/05/2023,5,George Hines,mgraham@example.org,"337 Russell Walk, West Johnstad, MI 01577",05,2180
v01058,ANILLO,310,01/06/2023,7,Rebecca Murphy,zmyers@example.net,"PSC 2617, Box 1054, APO AA 24683",06,2170
v01059,COLLAR,341,02/06/2023,2,Jessica Clayton,uthompson@example.org,"1424 Alexander Locks Suite 329, Lake Nicholasstad, AZ 13453",06,682
v0106,ANILLO,261,03/06/2023,1,Karen Johnson,zhardy@example.org,"6836 Martinez Vista Apt. 025, Marshchester, IA 68287",06,261
v01060,COLLAR,481,04/06/2023,2,Roger Calderon,andreamayer@example.com,"7230 Barr Street Suite 135, East Adamtown, KY 59192",06,962
v01061,PULSERA,403,05/06/2023,3,David Martin,greentara@example.net,"17713 Carlson Junctions Apt. 587, Rosschester, PA 60972",06,1209
v01062,COLLAR,345,06/06/2023,6,Michael Johnson,stuartroy@example.org,"5860 Koch Way, North Megan, FL 49852",06,2070
v01063,ANILLO,55,07/06/2023,2,Ann Graham,crystal39@example.net,"149 Stewart Cliffs Suite 656, Galvanchester, TX 16578",06,110
v01064,ANILLO,261,08/06/2023,6,Diane Boyd,zgarcia@example.com,"30730 Jennifer Cliffs Apt. 707, New Joyberg, OH 07034",06,1566
v01065,ARETES,221,09/06/2023,1,Paige Hughes,justin30@example.com,"08823 Walker Squares, West Brittanyland, MI 92487",06,221
v01066,COLLAR,188,10/06/2023,8,Ann Collins,jenningsmichael@example.com,"5405 Smith Stream Apt. 232, West Bethbury, NM 76474",06,1504
v01067,ANILLO,92,11/06/2023,1,Wesley Weber,butlerdavid@example.net,"PSC 0023, Box 6493, APO AA 47132",06,92
v01068,PULSERA,236,12/06/2023,10,Joshua Williams,rachel87@example.net,"61463 Roberts Street, Kelseytown, FM 73456",06,2360
v01069,COLLAR,235,13/06/2023,6,Valerie Hill,njohnson@example.net,"95030 Glass Ridges Suite 453, Nunezland, ID 96550",06,1410
v0107,COLLAR,108,14/06/2023,1,Robert Henderson,ashleyoconnell@example.org,"079 Osborne Springs Apt. 196, Chandlerview, CO 66208",06,108
v01070,COLLAR,86,15/06/2023,3,Chelsea Lozano,nashamy@example.org,"1091 Kennedy Greens, Ryanton, LA 50039",06,258
v01071,ANILLO,214,16/06/2023,3,Andrea Mcclure,matthew08@example.com,"5479 Eric Views Suite 400, West Alyssafurt, AS 73262",06,642
v01072,COLLAR,386,17/06/2023,10,Aaron Sullivan,kevin91@example.com,"035 Munoz Crossing Apt. 960, Cruzmouth, WI 13616",06,3860
v01073,ANILLO,253,18/06/2023,5,Richard Smith,stevenobrien@example.net,"42024 Anne Street, New Tammy, NY 04062",06,1265
v01074,PULSERA,218,19/06/2023,5,Abigail Hogan,brian63@example.com,"17806 Glenn Mall, Daisytown, AS 45598",06,1090
v01075,ARETES,422,20/06/2023,1,Jeffrey Hernandez,douglaszimmerman@example.org,"5657 Castillo Fields Suite 178, Greenborough, MA 20010",06,422
v01076,ANILLO,387,21/06/2023,1,Stephen Davis,rbridges@example.com,"8644 Dickerson Spur Suite 409, Christopherview, IA 08874",06,387
v01077,PULSERA,255,22/06/2023,10,Jessica Lewis,johnsonrobert@example.org,"05512 Cortez Rapids, West Jessica, CT 41886",06,2550
v01078,ARETES,496,23/06/2023,1,Eric Smith,usanders@example.org,"0543 Travis Skyway, Stephenberg, ID 32325",06,496
v01079,ARETES,111,24/06/2023,4,Jason Anderson,kschmidt@example.net,"00082 Jill Heights Suite 069, New Nicole, GA 55108",06,444
v0108,COLLAR,184,29/11/2022,8,Paul Morales,donalddixon@example.org,"1346 Mcdaniel Ridges Suite 482, Lake Travismouth, IN 31836",11,1472
v01080,ARETES,325,02/09/2022,2,Laura Cantu,carlospruitt@example.com,"00014 Juan Wells Apt. 324, Josephfurt, MA 03271",09,650
v01081,PULSERA,325,24/04/2023,9,Austin Lee,lgillespie@example.net,"93541 Maria Pass Apt. 434, Turnermouth, DC 91008",04,2925
v01082,PULSERA,268,21/04/2023,10,Amanda Miller,loriblair@example.org,"3045 Marvin Plains Suite 631, Michaelland, MN 36132",04,2680
v01083,PULSERA,51,16/01/2023,9,Alyssa Lee,james54@example.net,"3325 Christina Way Suite 775, North Lukehaven, PR 55668",01,459
v01084,ARETES,473,07/10/2022,3,Joseph Smith,corey80@example.net,"43409 Leah Tunnel Apt. 891, South Michael, WV 96512",10,1419
v01085,COLLAR,281,05/05/2023,2,Stephen Ingram,ymorales@example.net,"7786 Lauren Branch Suite 926, Port Dariusstad, MP 53325",05,562
v01086,PULSERA,86,24/06/2022,3,Mr. Michael Ruiz,zstewart@example.com,"73241 Robert Landing, South Ryan, MH 29308",06,258
v01087,ANILLO,335,24/01/2023,4,Carol Monroe,barbarafrazier@example.com,"58014 Joseph Square Suite 565, Amyside, OR 18617",01,1340
v01088,PULSERA,130,22/07/2022,5,Joan Lloyd,wmurray@example.org,"5688 Hall Cliffs, Woodshire, MD 35706",07,650
v01089,ANILLO,322,29/03/2023,9,Andrew Hall,lisaevans@example.org,"79891 Larson Gardens Apt. 939, North Francesside, MS 20233",03,2898
v0109,ANILLO,231,28/12/2022,10,Austin Webb,cookrebecca@example.org,"USNS Dougherty, FPO AE 17399",12,2310
v01090,ARETES,421,31/05/2023,9,Melissa Compton,andrea46@example.net,"243 Sandoval Port, Kyleburgh, OR 05166",05,3789
v01091,ARETES,421,18/10/2022,9,Stephen Greene,navarrostephanie@example.com,"6052 Smith Shoals Suite 015, Colemanchester, MO 35744",10,3789
v01092,COLLAR,497,04/11/2022,4,Joshua Wallace,mark12@example.net,"2985 Price Locks Suite 860, Salazarberg, CT 64342",11,1988
v01093,COLLAR,345,27/04/2023,5,Richard Edwards,cannonderek@example.org,"9573 Larson Glen, West Kyleburgh, PA 71132",04,1725
v01094,COLLAR,86,30/09/2022,7,John Rangel,danielsims@example.org,"70331 Simmons Course Apt. 616, Jenniferbury, NH 37325",09,602
v01095,PULSERA,388,29/06/2022,7,Derrick Martinez,andrewbennett@example.com,"70497 Davis Views Apt. 611, East Rhondamouth, WI 35007",06,2716
v01096,COLLAR,306,02/09/2022,2,Jeremy Jackson,morganmadison@example.net,"70253 Seth Crossroad Apt. 338, Port Gabrielbury, CO 20976",09,612
v01097,ARETES,101,06/01/2023,4,Sarah Davis,bishopmonica@example.com,"954 Ramirez Dale, Lake Derek, NV 41604",01,404
v01098,ANILLO,107,19/02/2023,6,James Ortega,ufernandez@example.com,"24459 David Crescent, Hallberg, WV 65702",02,642
v01099,PULSERA,111,09/05/2023,5,Andrew Baker,leachchristopher@example.net,"61783 Garcia Ridge Apt. 512, East Deborah, ME 73387",05,555
v011,ANILLO,336,20/10/2022,4,Steven Camacho,shelley32@example.org,"95334 Eugene Lodge Apt. 942, South Alexismouth, AL 08545",10,1344
v0110,COLLAR,212,03/06/2023,2,Jeffrey French,tinacarroll@example.org,"Unit 4884 Box 9461, DPO AP 58336",06,424
v01100,COLLAR,145,30/09/2022,8,Michael Campos,rachelmack@example.net,"USCGC Flores, FPO AP 83090",09,1160
v01101,ANILLO,178,10/04/2023,2,Jacob Gates,allisonjohnson@example.org,"60362 Rogers Forges Apt. 724, Lake Jacob, OH 26952",04,356
v01102,ANILLO,213,05/03/2023,8,Joseph Patel,jeffrey68@example.com,"1152 Clark Lodge Apt. 475, North Carlshire, DE 93008",03,1704
v01103,PULSERA,217,23/05/2023,1,Lisa Blanchard PhD,jasonhill@example.net,"960 Keith Walk Apt. 671, Scottton, FM 43959",05,217
v01104,COLLAR,168,22/05/2023,6,Ronald Smith,barbaravega@example.net,"441 Denise Stream Apt. 038, Lake Kevin, OH 47213",05,1008
v01105,COLLAR,399,03/11/2022,2,Elaine Williams,shirleystevens@example.com,"597 David Viaduct, Lake Jenniferview, FL 86612",11,798
v01106,COLLAR,426,21/04/2023,10,Bobby Hall,dberry@example.com,"58869 Riley Forge Apt. 330, Leonside, OH 30707",04,4260
v01107,ARETES,364,01/06/2023,3,Jeffrey Mitchell,annestewart@example.com,"79466 Stephanie Harbor, Lake Justin, NE 01976",06,1092
v01108,ARETES,231,03/02/2023,4,Reginald Ayala,lsmith@example.org,"3887 Wood Drive, Port Stacymouth, CT 75170",02,924
v01109,ANILLO,134,18/12/2022,6,Cindy Smith,margaret44@example.org,"0695 Stewart Pines, West Sara, GU 45679",12,804
v0111,ARETES,200,08/05/2023,1,Andrew Moreno,alvareznicholas@example.com,"5775 David Ports, Natalieland, WV 37646",05,200
v01110,COLLAR,149,05/11/2022,7,Caroline Mclaughlin PhD,hilllaura@example.org,"567 Crawford Tunnel, Manuelton, MP 09436",11,1043
v01111,PULSERA,83,15/08/2022,5,Matthew Glenn,mrivera@example.net,"96330 Hodge Trafficway Apt. 758, Stephenstad, NJ 19488",08,415
v01112,COLLAR,252,01/05/2023,4,Mercedes Caldwell,johntaylor@example.org,"06161 Carlson Station Suite 016, West Noahfort, IN 25726",05,1008
v01113,ANILLO,228,21/03/2023,7,Ryan Holmes,angelica18@example.com,"948 Wanda Plaza, Richardsonhaven, CA 97506",03,1596
v01114,COLLAR,356,12/10/2022,4,Philip Smith,shawnagalvan@example.net,"USNV Ward, FPO AE 96187",10,1424
v01115,COLLAR,121,12/05/2023,6,Louis Massey,angela69@example.org,"52135 Jacqueline Knoll, Port Rogershire, UT 18909",05,726
v01116,COLLAR,243,06/11/2022,8,Lauren Smith,ashleymichelle@example.net,"475 Miller Grove Suite 397, Olivialand, HI 39600",11,1944
v01117,ARETES,496,06/07/2022,8,Brittany Sanchez,stacybraun@example.com,"65437 Nicole Roads Suite 544, New Brandy, AS 58100",07,3968
v01118,ARETES,390,06/02/2023,9,Joyce Rodriguez,montgomeryjason@example.com,"USS Allen, FPO AE 86487",02,3510
v01119,ARETES,79,04/08/2022,6,Allison Liu,williambruce@example.net,"4087 Robert Trail Suite 082, Lake Kimberly, PW 35048",08,474
v0112,COLLAR,437,09/06/2023,9,Shelley Morgan,ewhite@example.com,"PSC 1268, Box 6474, APO AA 62522",06,3933
v01120,COLLAR,350,24/03/2023,9,Samantha Hanson,gregory04@example.com,"396 Ronald Roads Apt. 088, Lake Matthew, UT 69822",03,3150
v01121,ANILLO,386,10/04/2023,8,Christopher Garcia,phamilton@example.org,"3241 Davis Lake Suite 527, Cruzshire, VI 95058",04,3088
v01122,COLLAR,475,23/01/2023,1,Maria Murphy,jennymaynard@example.net,"58781 Kennedy Garden Suite 769, Lake Cherylburgh, MI 61136",01,475
v01123,ARETES,470,18/09/2022,10,Grace Lyons,james49@example.net,"236 Martin Pines Apt. 579, New Dave, PW 43499",09,4700
v01124,ARETES,135,11/03/2023,3,Melissa Jones,angelapatel@example.org,"41571 Alvarado Lodge Suite 029, Maryport, DE 24151",03,405
v01125,ARETES,195,10/02/2023,5,Christopher Garcia,daniel95@example.net,"45415 Santos Stravenue, Coxton, IA 73391",02,975
v01126,ANILLO,320,15/02/2023,2,Sara Hayden,patrickjennings@example.net,"683 Jones Spur, North Mariaview, TX 44493",02,640
v01127,COLLAR,361,13/05/2023,9,Paul Ramsey,christophersummers@example.org,"883 Yu Run Apt. 784, New Jared, NM 82217",05,3249
v01128,ANILLO,167,06/09/2022,7,Isaac Martinez,tbenson@example.net,"PSC 8274, Box 3686, APO AA 02467",09,1169
v01129,COLLAR,396,02/12/2022,5,Andrea Soto,ijones@example.org,"Unit 7499 Box 1479, DPO AA 63476",12,1980
v0113,COLLAR,499,09/02/2023,2,Karen Dyer,wallacesandra@example.net,"71806 Gibson Meadow, Mitchellmouth, WA 01692",02,998
v01130,PULSERA,273,15/03/2023,8,Alyssa Thomas,robert88@example.org,"973 Theresa Squares Suite 933, Port Robertmouth, PA 79930",03,2184
v01131,ARETES,483,23/12/2022,1,Gregory Pugh,lisa77@example.org,"33876 Romero Fall, South Amanda, CA 91608",12,483
v01132,PULSERA,127,15/09/2022,1,David Dunn,greg60@example.net,"Unit 6076 Box 4635, DPO AP 34783",09,127
v01133,ANILLO,303,08/06/2023,5,David Ramos,hendersonedward@example.net,"84065 Mary Locks Apt. 103, North Jasonborough, AS 05150",06,1515
v01134,ANILLO,218,25/12/2022,2,George Wilcox,felicia24@example.net,"9011 Richard Isle, Lake Oliviatown, MS 58749",12,436
v01135,ANILLO,127,07/08/2022,9,Kevin James,ohernandez@example.org,"175 Lewis Lock Suite 517, Lake Cindy, AR 66525",08,1143
v01136,ANILLO,347,12/02/2023,7,Jennifer Giles,fdavid@example.net,"79813 Bradley Coves Suite 128, Deannafort, ND 63122",02,2429
v01137,PULSERA,155,08/11/2022,9,Deborah Lamb,eflores@example.net,"91609 April Islands Apt. 913, Lake James, LA 62931",11,1395
v01138,PULSERA,492,16/07/2022,9,Joseph Arnold,dkennedy@example.org,"2400 Robinson Pines Apt. 175, Annafort, IN 14493",07,4428
v01139,ARETES,341,18/11/2022,2,Melissa Padilla,casey74@example.com,"USNS Chambers, FPO AE 28792",11,682
v0114,PULSERA,334,24/08/2022,10,Katherine Anderson,lisaayers@example.net,"279 Lucas Port, North Jenniferchester, CA 14385",08,3340
v01140,ARETES,409,30/12/2022,5,Kelly Jones,troy37@example.net,"75978 Jennifer Circle Apt. 422, Lake Alexandrafurt, NV 65928",12,2045
v01141,ARETES,179,01/05/2023,8,Heather Sanders,xflores@example.net,"96488 Philip Island Suite 825, Jackfurt, WA 16799",05,1432
v01142,ANILLO,261,14/05/2023,5,Michael Walker,vmartinez@example.net,"40857 Esparza Field, South Adammouth, LA 97740",05,1305
v01143,ANILLO,207,17/09/2022,7,Sean Cole,davistodd@example.org,"54749 Moyer Skyway, North Luke, FM 28447",09,1449
v01144,ARETES,305,08/03/2023,4,Brandy Villarreal DVM,lnielsen@example.net,"627 Jackson Pike Suite 367, Port Brian, VT 58999",03,1220
v01145,ANILLO,456,17/11/2022,4,Taylor Harris,sadams@example.net,"81436 Alvarez Estate Apt. 027, North Aaronport, MN 54746",11,1824
v01146,ANILLO,387,08/12/2022,3,Ryan Black,bryan47@example.com,"9379 Carrie Station, West Haroldmouth, SD 10075",12,1161
v01147,PULSERA,421,10/08/2022,3,Monica Jackson,ericharris@example.com,"1315 David Shoal Suite 417, Turnerview, NC 79922",08,1263
v01148,COLLAR,254,02/02/2023,7,Janice Christensen,deanna99@example.org,"6955 Stacey Gateway Suite 009, Lake Phillip, PA 76205",02,1778
v01149,COLLAR,319,24/06/2022,6,Amy Bowman,rsalazar@example.com,"9077 Douglas Vista, New Thomas, OR 47898",06,1914
v0115,ANILLO,169,10/10/2022,9,Craig Frederick,thompsonjohn@example.org,"506 Steven Centers Apt. 394, Lake Jayhaven, NM 69248",10,1521
v01150,PULSERA,440,04/09/2022,9,James Burton Jr.,wnelson@example.org,"9598 Cohen Stream, Lake Jacobbury, AZ 17527",09,3960
v01151,ARETES,463,14/02/2023,6,Mrs. Cheryl Malone,lmoore@example.com,"50795 Taylor Parks Suite 566, Frederickport, CT 29647",02,2778
v01152,COLLAR,128,26/12/2022,7,Kevin Elliott,mcneilrobin@example.com,"106 Lopez Square, Ashleychester, AZ 67741",12,896
v01153,PULSERA,270,20/01/2023,8,Douglas Garner,hancockwayne@example.com,"Unit 6336 Box 4779, DPO AA 14366",01,2160
v01154,PULSERA,446,19/05/2023,10,Kristen Walker,gainesgary@example.org,"7773 Jennifer Plaza Suite 557, West Amy, GU 56569",05,4460
v01155,PULSERA,474,07/04/2023,10,Kimberly Green,obrown@example.com,"012 Dawn Manors, Davishaven, MO 79134",04,4740
v01156,COLLAR,408,08/08/2022,5,Toni Irwin,thomasbrooks@example.net,"7012 Gordon Loaf, West Waltertown, CA 45953",08,2040
v01157,COLLAR,183,25/07/2022,10,Damon Meadows,christopherjuarez@example.com,"0149 Bell Point Suite 965, West Brittanyberg, NH 12801",07,1830
v01158,COLLAR,433,03/11/2022,7,Michael Krause,julie02@example.org,"10378 Aaron Camp Apt. 566, Lake Christopherhaven, WY 28244",11,3031
v01159,COLLAR,193,18/01/2023,8,Dr. Kelly Scott,amy65@example.net,"182 Jones Track, Lake Richardstad, NY 16631",01,1544
v0116,PULSERA,324,17/07/2022,7,Joseph Marshall,juliangardner@example.org,"04969 Elizabeth Gateway Suite 614, Port Charlesshire, SC 33193",07,2268
v01160,COLLAR,154,07/03/2023,9,John Johnson,tuckerrobert@example.net,"9435 Turner Vista, East Juliafurt, NC 57628",03,1386
v01161,ARETES,212,11/04/2023,6,Megan Lang,gray@example.net,"87979 Andrew Walk, North Dominiqueberg, OH 34125",04,1272
v01162,PULSERA,175,24/12/2022,10,Gene Reynolds,christopherali@example.org,"61782 Debra Station, Brianborough, SC 11801",12,1750
v01163,ARETES,492,04/10/2022,7,Gregg Cox,karinajames@example.com,"0028 Barbara Bypass, Lake Dana, PR 90076",10,3444
v01164,ANILLO,358,02/04/2023,7,Mr. William Colon,nicholasmckenzie@example.com,"79912 Ramos Fort Suite 615, Bennettshire, NY 84352",04,2506
v01165,COLLAR,257,06/06/2023,6,William Smith,afisher@example.com,"71646 Mendoza Junctions, South Annaland, NM 56831",06,1542
v01166,PULSERA,468,04/11/2022,2,Tyler Gonzalez,grantdaniel@example.net,"48708 Smith Motorway, Lake Thomasshire, ID 36262",11,936
v01167,ARETES,97,15/08/2022,4,Thomas Ramos,bradleyangela@example.com,"64365 Stephanie Fords Apt. 464, East Tim, NE 99547",08,388
v01168,COLLAR,433,19/09/2022,7,Amanda Brandt,rodriguezjoshua@example.org,"543 Christensen Estate, Kristinburgh, FL 60054",09,3031
v01169,ARETES,267,22/01/2023,2,Douglas Flynn,elizabeth91@example.com,"047 Angela Street, Onealhaven, VA 89755",01,534
v0117,COLLAR,195,30/04/2023,7,James Rose,melissa44@example.org,"697 Amber Cliffs Apt. 419, Port Ryanmouth, MI 13795",04,1365
v01170,ARETES,443,07/07/2022,6,Julie Robinson,tristansmith@example.org,"46211 Lisa Place Suite 079, South Aaronton, ME 33257",07,2658
v01171,ARETES,459,29/05/2023,3,Carrie Bullock,youngdonald@example.net,"898 Kevin Groves, South Ariel, MD 05175",05,1377
v01172,ANILLO,420,20/01/2023,8,Kathy Turner,johngordon@example.org,"86384 Douglas Manors, Lake Robin, FL 84026",01,3360
v01173,COLLAR,435,11/07/2022,4,Sarah Miller,michael36@example.org,"567 Jonathan Flat, South Derrickview, NE 31963",07,1740
v01174,ANILLO,287,16/06/2022,8,Nicholas Williams,keith40@example.org,"PSC 6267, Box 9809, APO AE 44699",06,2296
v01175,ARETES,483,16/08/2022,10,Linda Baldwin,nmurray@example.org,"3825 Joseph Rest, West Jessica, HI 51244",08,4830
